,Links
0,https://stackoverflow.com/questions/2480650/what-is-the-role-of-the-bias-in-neural-networks
1,https://stackoverflow.com/questions/879432/what-is-the-difference-between-a-generative-and-a-discriminative-algorithm
2,https://stackoverflow.com/questions/10059594/a-simple-explanation-of-naive-bayes-classification
3,https://stackoverflow.com/questions/4752626/epoch-vs-iteration-when-training-neural-networks
4,https://stackoverflow.com/questions/34240703/what-are-logits-what-is-the-difference-between-softmax-and-softmax-cross-entrop
5,https://stackoverflow.com/questions/307291/how-does-the-google-did-you-mean-algorithm-work
6,https://stackoverflow.com/questions/41455101/what-is-the-meaning-of-the-word-logits-in-tensorflow
7,https://stackoverflow.com/questions/11632516/what-are-advantages-of-artificial-neural-networks-over-support-vector-machines
8,https://stackoverflow.com/questions/29831489/convert-array-of-indices-to-one-hot-encoded-array-in-numpy
9,https://stackoverflow.com/questions/34968722/how-to-implement-the-softmax-function-in-python
10,https://stackoverflow.com/questions/1832076/what-is-the-difference-between-supervised-learning-and-unsupervised-learning
11,https://stackoverflow.com/questions/12146914/what-is-the-difference-between-linear-regression-and-logistic-regression
12,https://stackoverflow.com/questions/34518656/how-to-interpret-loss-and-accuracy-for-a-machine-learning-model
13,https://stackoverflow.com/questions/10592605/save-classifier-to-disk-in-scikit-learn
14,https://stackoverflow.com/questions/13610074/is-there-a-rule-of-thumb-for-how-to-divide-a-dataset-into-training-and-validatio
15,https://stackoverflow.com/questions/49433936/how-do-i-initialize-weights-in-pytorch
16,https://stackoverflow.com/questions/38250710/how-to-split-data-into-3-sets-train-validation-and-test
17,https://stackoverflow.com/questions/37292872/how-can-i-one-hot-encode-in-python
18,https://stackoverflow.com/questions/5529625/is-it-possible-to-specify-your-own-distance-function-using-scikit-learn-k-means
19,https://stackoverflow.com/questions/60018578/what-does-model-eval-do-in-pytorch
20,https://stackoverflow.com/questions/2595176/which-machine-learning-classifier-to-choose-in-general
21,https://stackoverflow.com/questions/42081257/why-binary-crossentropy-and-categorical-crossentropy-give-different-performances
22,https://stackoverflow.com/questions/20224526/how-to-extract-the-decision-rules-from-scikit-learn-decision-tree
23,https://stackoverflow.com/questions/5064928/difference-between-classification-and-clustering-in-data-mining
24,https://stackoverflow.com/questions/37987839/how-can-i-run-tensorboard-on-a-remote-server
25,https://stackoverflow.com/questions/9782071/why-must-a-nonlinear-activation-function-be-used-in-a-backpropagation-neural-net
26,https://stackoverflow.com/questions/38340311/what-is-the-difference-between-steps-and-epochs-in-tensorflow
27,https://stackoverflow.com/questions/42883547/intuitive-understanding-of-1d-2d-and-3d-convolutions-in-convolutional-neural-n
28,https://stackoverflow.com/questions/43237124/what-is-the-role-of-flatten-in-keras
29,https://stackoverflow.com/questions/4674623/why-do-we-have-to-normalize-the-input-for-an-artificial-neural-network
30,https://stackoverflow.com/questions/5751114/nearest-neighbors-in-high-dimensional-data
31,https://stackoverflow.com/questions/35677724/tensorflow-why-was-python-the-chosen-language
32,https://stackoverflow.com/questions/40758562/can-anyone-explain-me-standardscaler
33,https://stackoverflow.com/questions/12952729/how-to-understand-locality-sensitive-hashing
34,https://stackoverflow.com/questions/43034960/many-to-one-and-many-to-many-lstm-examples-in-keras
35,https://stackoverflow.com/questions/53975717/pytorch-connection-between-loss-backward-and-optimizer-step
36,https://stackoverflow.com/questions/59013109/runtimeerror-input-type-torch-floattensor-and-weight-type-torch-cuda-floatte
37,https://stackoverflow.com/questions/33091376/what-is-exactly-sklearn-pipeline-pipeline
38,https://stackoverflow.com/questions/6542274/how-to-train-an-artificial-neural-network-to-play-diablo-2-using-visual-input
39,https://stackoverflow.com/questions/40050397/deep-learning-nan-loss-reasons
40,https://stackoverflow.com/questions/1402370/when-should-i-use-genetic-algorithms-as-opposed-to-neural-networks
41,https://stackoverflow.com/questions/31421413/how-to-compute-precision-recall-accuracy-and-f1-score-for-the-multiclass-case
42,https://stackoverflow.com/questions/36631163/what-are-the-pros-and-cons-between-get-dummies-pandas-and-onehotencoder-sciki
43,https://stackoverflow.com/questions/37370015/what-is-the-difference-between-value-iteration-and-policy-iteration
44,https://stackoverflow.com/questions/26355942/why-is-the-f-measure-a-harmonic-mean-and-not-an-arithmetic-mean-of-the-precision
45,https://stackoverflow.com/questions/9294926/how-does-apple-find-dates-times-and-addresses-in-emails
46,https://stackoverflow.com/questions/17469835/why-does-one-hot-encoding-improve-machine-learning-performance
47,https://stackoverflow.com/questions/48750199/google-colaboratory-misleading-information-about-its-gpu-only-5-ram-available
48,https://stackoverflow.com/questions/20027598/why-should-weights-of-neural-networks-be-initialized-to-random-numbers
49,https://stackoverflow.com/questions/37383812/tensorflow-module-object-has-no-attribute-placeholder
50,https://stackoverflow.com/questions/1624060/machine-learning-libraries-in-c-sharp
51,https://stackoverflow.com/questions/40898019/what-is-the-difference-between-a-feature-and-a-label
52,https://stackoverflow.com/questions/11808074/what-is-an-intuitive-explanation-of-the-expectation-maximization-technique
53,https://stackoverflow.com/questions/35074549/how-to-load-a-model-from-an-hdf5-file-in-keras
54,https://stackoverflow.com/questions/33962226/common-causes-of-nans-during-training-of-neural-networks
