,Links,Header-Question,Full-Question,Answers
0,https://stackoverflow.com/questions/33839154/in-ethereum-solidity-what-is-the-purpose-of-the-memory-keyword,"In Ethereum Solidity, what is the purpose of the ""memory"" keyword?","
When looking at sample contracts, sometimes arrays are declared in methods with ""memory"" and sometimes they aren't. What's the difference?","
Without the memory keyword, Solidity tries to declare variables in storage.
Lead Solidity dev chriseth: “You can think of storage as a large array that has a virtual structure… a structure you cannot change at runtime - it is determined by the state variables in your contract”.
That is, the structure of storage is set in stone at the time of contract creation based on your contract-level variable declarations and cannot be changed by future method calls. BUT -- the contents of that storage can be changed with sendTransaction calls. Such calls change “state” which is why contract-level variables are called “state variables”. So a variable uint8 storage var; declared at the contract level can be changed to any valid value of uint8 (0-255) but that “slot” for a value of type uint8 will always be there.
If you declare variables in functions without the memory keyword, then solidity will try to use the storage structure, which currently compiles, but can produce unexpected results. memory tells solidity to create a chunk of space for the variable at method runtime, guaranteeing its size and structure for future use in that method.
memory cannot be used at the contract level. Only in methods.
See the the entry ""What is the memory keyword? What does it do?"" in the FAQ. I quote it here:
The Ethereum Virtual Machine has three areas where it can store items.
The first is “storage”, where all the contract state variables reside. Every contract has its own storage and it is persistent between function calls and quite expensive to use.
The second is “memory”, this is used to hold temporary values. It is erased between (external) function calls and is cheaper to use.
The third one is the stack, which is used to hold small local variables. It is almost free to use, but can only hold a limited amount of values.
For almost all types, you cannot specify where they should be stored, because they are copied everytime they are used.
The types where the so-called storage location is important are structs and arrays. If you e.g. pass such variables in function calls, their data is not copied if it can stay in memory or stay in storage. This means that you can modify their content in the called function and these modifications will still be visible in the caller.
There are defaults for the storage location depending on which type of variable it concerns:
state variables are always in storage
function arguments are always in memory
local variables of struct, array or mapping type reference storage by default
local variables of value type (i.e. neither array, nor struct nor mapping) are stored in the stack"
1,https://stackoverflow.com/questions/48219716/what-is-address0-in-solidity,What is address(0) in Solidity,"
Can anyone explain to me what address(0) is in Solidity? I found the following in the docs but it doesn't really make sense to me:
If the target account is the zero-account (the account with the address 0), the transaction creates a new contract. As already mentioned, the address of that contract is not the zero address but an address derived from the sender and its number of transactions sent (the “nonce”). The payload of such a contract creation transaction is taken to be EVM bytecode and executed. The output of this execution is permanently stored as the code of the contract. This means that in order to create a contract, you do not send the actual code of the contract, but in fact code that returns that code.
http://solidity.readthedocs.io/en/develop/introduction-to-smart-contracts.html?highlight=address(0)#index-8",
2,https://stackoverflow.com/questions/58258808/data-location-must-be-memory-for-return-parameter-in-function-but-none-was-gi,"Data location must be ""memory"" for return parameter in function, but none was given","
I tried solidity example like as above in remix, solidity version > 0.5.0 But I am getting this error now. What is the way to solve this error?
contract MyContract {
    string value;

    function get() public view returns (string) {
        return value;
    }

    function set(string _value) public {
        value = _value;
    }

    constructor() public {
        value = ""myValue"";
    }
}","
You should add memory keyword for string parameter, which was introduced in solidity version 0.5.0
As per the documentation:
Explicit data location for all variables of struct, array or mapping types is now mandatory. This is also applied to function parameters and return variables. For example, change uint[] x = m_x to uint[] storage x = m_x, and function f(uint[][] x) to function f(uint[][] memory x) where memory is the data location and might be replaced by storage or calldata accordingly. Note that external functions require parameters with a data location of calldata.
Corrected code
contract MyContract {
    string value;

    function get() public view returns (string memory) {
        return value;
    }

    function set(string memory _value) public {
        value = _value;
    }

    constructor() public {
        value = ""myValue"";
    }
}
Refer to official documentation on breaking changes made in version 0.5.0"
3,https://stackoverflow.com/questions/65234522/warning-spdx-license-identifier-not-provided-in-source-file,Warning: SPDX license identifier not provided in source file,"
I created a new solidity contract. The contract is up and running but giving me this warning.
Warning: SPDX license identifier not provided in source file. Before publishing, consider adding a comment containing ""SPDX-License-Identifier: <SPDX-License>"" to each source file. Use ""SPDX-License-Identifier: UNLICENSED"" for non-open-source code. Please see https://spdx.org for more information.
There are no errors while compilation.
The Compiler version I am using in https://remix.ethereum.org/ is v0.7.5+commit.eb77ed08 Language: Solidity EVM VERSION: compiler default
Whenever I press compile it gives me the warning but there is no problem while deploying.
My code snippet:
pragma solidity ^0.7.5;
contract TestContract {
// Some logic
}","
From Solidity ^0.6.8 SPDX license is introduced. So you need to use SPDX-License-Identifier in the code.
Have a look at this: https://forum.openzeppelin.com/t/solidity-0-6-8-introduces-spdx-license-identifiers/2859
For example in your code you need to use license identifier like
// SPDX-License-Identifier: MIT
pragma solidity ^0.7.5;
contract TestContract {
// Some logic
}
You need to use license according to your project. Some other licenses are:
// SPDX-License-Identifier: GPL-3.0-or-later
You can find list of licenses here: https://spdx.org/licenses/"
4,https://stackoverflow.com/questions/37852682/are-there-null-like-thing-in-solidity,Are there null like thing in solidity,"
    struct buyer{
       uint amount;
       Status status;
    }

    mapping(address=>buyer) public buyers;
    mapping(uint=>address) buyerIndex;
    uint public buyerNum;
    //Order a product.
    function(){
      uint doubleValue=value*2;
      uint amount=msg.value/doubleValue; 
      if(buyers[msg.sender]==null){ //Error in this line
      buyer abuyer=buyer({amount:amount,status:Status.Created}); //Error in this line
      buyerNum++;
      buyerIndex[buyerNum]=msg.sender;
      buyers[msg.sender]=abuyer;
    }else{
      buyers[msg.sender].amount+=amount;
    }
      Order(msg.sender,amount*doubleValue,amount);

 }
If a buyer is not recorded in the buyer mapping, then buyerNum++; but I don't know how to tell whether a buyer is in the mapping",
5,https://stackoverflow.com/questions/47129173/how-to-convert-uint-to-string-in-solidity,How to convert uint to string in solidity?,"
In Solidity, is there a way I can convert my int to string ?
Example:
pragma solidity ^0.4.4;

contract someContract {

    uint i;

    function test() pure returns (string) {

      return ""Here and Now is Happiness!"";

    }

    function love() pure returns(string) {

        i = i +1;

        return ""I love "" + functionname(i) + "" persons"" ;
    }



}
What is functionname?Thanks!","
The two post here are giving the responses :
https://ethereum.stackexchange.com/questions/10811/solidity-concatenate-uint-into-a-string
https://ethereum.stackexchange.com/questions/10932/how-to-convert-string-to-int
function uintToString(uint v) constant returns (string str) {
        uint maxlength = 100;
        bytes memory reversed = new bytes(maxlength);
        uint i = 0;
        while (v != 0) {
            uint remainder = v % 10;
            v = v / 10;
            reversed[i++] = byte(48 + remainder);
        }
        bytes memory s = new bytes(i + 1);
        for (uint j = 0; j <= i; j++) {
            s[j] = reversed[i - j];
        }
        str = string(s);
    }
Regards"
6,https://stackoverflow.com/questions/37644395/how-to-find-out-if-an-ethereum-address-is-a-contract,How to find out if an Ethereum address is a contract?,"
An address in Solidity can be an account or a contract (or other things, such as a transaction). When I have a variable x, holding an address, how can I test if it is a contract or not?
(Yes, I've read the chapter on types in the doc)","
Edit: Solidity has changed since this answer was first written, @manuel-aráoz has the correct answer.
There is no way in solidity to check if an address is a contract. One of the goals of Ethereum is for humans and smart contracts to both be treated equally. This leads into a future where smart contracts interact seamlessly with humans and other contracts. It might change in the future , but for now an arbitrary address is ambiguous."
7,https://stackoverflow.com/questions/70051896/why-do-i-get-the-error-method-eth-maxpriorityfeepergas-not-supported-when-i-tr,"Why do I get the error ""Method eth_maxPriorityFeePerGas not supported"" when I try to run Web3py with Ganache?","
Running Web3.py with Ganache-cli returns this error:
Method eth_maxPriorityFeePerGas not supported.
However this does work when working with a test-network like Ropsten directly without Ganache-cli.
Running this code in following a tutorial:
from solcx import compile_standard, install_solc
import json
from web3 import Web3
import os
from dotenv import load_dotenv

load_dotenv()

with open(""./SimpleStorage.sol"", ""r"") as file:
    simple_storage_file = file.read()

install_solc(""0.6.0"")

compiled_sol = compile_standard(
    {
        ""language"": ""Solidity"",
        ""sources"": {""SimpleStorage.sol"": {""content"": simple_storage_file}},
        ""settings"": {
            ""outputSelection"": {
                ""*"": {""*"": [""abi"", ""metadata"", ""evm.bytecode"", ""evm.sourceMap""]}
            }
        },
    },
    solc_version=""0.6.0"",
)

with open(""compiled_code.json"", ""w"") as file:
    json.dump(compiled_sol, file)

bytecode = compiled_sol[""contracts""][""SimpleStorage.sol""][""SimpleStorage""][""evm""][
    ""bytecode""
][""object""]

abi = compiled_sol[""contracts""][""SimpleStorage.sol""][""SimpleStorage""][""abi""]

w3 = Web3(Web3.HTTPProvider(""HTTP://127.0.0.1:7545""))
chain_id = 1337
my_address = ""0x3d5CDfCea81141d7C839938095912F594b566Ab8""
private_key = os.getenv(""private_key"")

SimpleStorage = w3.eth.contract(abi=abi, bytecode=bytecode)

nonce = w3.eth.getTransactionCount(my_address)

transaction = SimpleStorage.constructor().buildTransaction(
    {""chainId"": chain_id, ""from"": my_address, ""nonce"": nonce}
)

signed_txn = w3.eth.account.sign_transaction(transaction, private_key=private_key)

tx_hash = w3.eth.send_raw_transaction(signed_txn.rawTransaction)
I get this error in the terminal:
Traceback (most recent call last):
  File ""C:\Users\Axceus\Desktop\demos\web3_py_simple_storage\deploy.py"", line 54, in <module>
    transaction = SimpleStorage.constructor().buildTransaction(
  File ""C:\Users\Axceus\AppData\Local\Programs\Python\Python310\lib\site-packages\eth_utils\decorators.py"", line 18, in _wrapper
    return self.method(obj, *args, **kwargs)
  File ""C:\Users\Axceus\AppData\Local\Programs\Python\Python310\lib\site-packages\web3\contract.py"", line 684, in buildTransaction
    return fill_transaction_defaults(self.web3, built_transaction)
  File ""cytoolz/functoolz.pyx"", line 250, in cytoolz.functoolz.curry.__call__
    return self.func(*args, **kwargs)
  File ""C:\Users\Axceus\AppData\Local\Programs\Python\Python310\lib\site-packages\web3\_utils\transactions.py"", line 121, in fill_transaction_defaults
    default_val = default_getter(web3, transaction)
  File ""C:\Users\Axceus\AppData\Local\Programs\Python\Python310\lib\site-packages\web3\_utils\transactions.py"", line 71, in <lambda>
    web3.eth.max_priority_fee + (2 * web3.eth.get_block('latest')['baseFeePerGas'])
  File ""C:\Users\Axceus\AppData\Local\Programs\Python\Python310\lib\site-packages\web3\eth.py"", line 549, in max_priority_fee
    return self._max_priority_fee()
  File ""C:\Users\Axceus\AppData\Local\Programs\Python\Python310\lib\site-packages\web3\module.py"", line 57, in caller
    result = w3.manager.request_blocking(method_str,
  File ""C:\Users\Axceus\AppData\Local\Programs\Python\Python310\lib\site-packages\web3\manager.py"", line 198, in request_blocking
    return self.formatted_response(response,
  File ""C:\Users\Axceus\AppData\Local\Programs\Python\Python310\lib\site-packages\web3\manager.py"", line 171, in formatted_response
    raise ValueError(response[""error""])
ValueError: {'message': 'Method eth_maxPriorityFeePerGas not supported.', 'code': -32000, 'data': {'stack': 'Error: Method eth_maxPriorityFeePerGas not supported.\n    at GethApiDouble.handleRequest (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\lib\\subproviders\\geth_api_double.js:70:16)\n    at next (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\node_modules\\web3-provider-engine\\index.js:136:18)\n    at GethDefaults.handleRequest (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\lib\\subproviders\\gethdefaults.js:15:12)\n    at next (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\node_modules\\web3-provider-engine\\index.js:136:18)\n    at SubscriptionSubprovider.FilterSubprovider.handleRequest (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\node_modules\\web3-provider-engine\\subproviders\\filters.js:89:7)\n    at SubscriptionSubprovider.handleRequest (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\node_modules\\web3-provider-engine\\subproviders\\subscriptions.js:137:49)\n    at next (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\node_modules\\web3-provider-engine\\index.js:136:18)\n    at DelayedBlockFilter.handleRequest (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\lib\\subproviders\\delayedblockfilter.js:31:3)\n    at next (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\node_modules\\web3-provider-engine\\index.js:136:18)\n    at RequestFunnel.handleRequest (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\lib\\subproviders\\requestfunnel.js:32:12)\n    at next (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\node_modules\\web3-provider-engine\\index.js:136:18)\n    at Web3ProviderEngine._handleAsync (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\node_modules\\web3-provider-engine\\index.js:123:3)\n    at Timeout._onTimeout (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\node_modules\\web3-provider-engine\\index.js:107:12)\n    at listOnTimeout (internal/timers.js:531:17)\n    at processTimers (internal/timers.js:475:7)', 'name': 'Error'}}
from solcx import compile_standard, install_solc
import json
from web3 import Web3
import os
from dotenv import load_dotenv

load_dotenv()

with open(""./SimpleStorage.sol"", ""r"") as file:
    simple_storage_file = file.read()

install_solc(""0.6.0"")

compiled_sol = compile_standard(
    {
        ""language"": ""Solidity"",
        ""sources"": {""SimpleStorage.sol"": {""content"": simple_storage_file}},
        ""settings"": {
            ""outputSelection"": {
                ""*"": {""*"": [""abi"", ""metadata"", ""evm.bytecode"", ""evm.sourceMap""]}
            }
        },
    },
    solc_version=""0.6.0"",
)

with open(""compiled_code.json"", ""w"") as file:
    json.dump(compiled_sol, file)

bytecode = compiled_sol[""contracts""][""SimpleStorage.sol""][""SimpleStorage""][""evm""][
    ""bytecode""
][""object""]

abi = compiled_sol[""contracts""][""SimpleStorage.sol""][""SimpleStorage""][""abi""]

w3 = Web3(Web3.HTTPProvider(""HTTP://127.0.0.1:7545""))
chain_id = 1337
my_address = ""0x3d5CDfCea81141d7C839938095912F594b566Ab8""
private_key = os.getenv(""private_key"")

SimpleStorage = w3.eth.contract(abi=abi, bytecode=bytecode)

nonce = w3.eth.getTransactionCount(my_address)

transaction = SimpleStorage.constructor().buildTransaction(
    {""chainId"": chain_id, ""from"": my_address, ""nonce"": nonce}
)

signed_txn = w3.eth.account.sign_transaction(transaction, private_key=private_key)

tx_hash = w3.eth.send_raw_transaction(signed_txn.rawTransaction)
Traceback (most recent call last):
  File ""C:\Users\Axceus\Desktop\demos\web3_py_simple_storage\deploy.py"", line 54, in <module>
    transaction = SimpleStorage.constructor().buildTransaction(
  File ""C:\Users\Axceus\AppData\Local\Programs\Python\Python310\lib\site-packages\eth_utils\decorators.py"", line 18, in _wrapper
    return self.method(obj, *args, **kwargs)
  File ""C:\Users\Axceus\AppData\Local\Programs\Python\Python310\lib\site-packages\web3\contract.py"", line 684, in buildTransaction
    return fill_transaction_defaults(self.web3, built_transaction)
  File ""cytoolz/functoolz.pyx"", line 250, in cytoolz.functoolz.curry.__call__
    return self.func(*args, **kwargs)
  File ""C:\Users\Axceus\AppData\Local\Programs\Python\Python310\lib\site-packages\web3\_utils\transactions.py"", line 121, in fill_transaction_defaults
    default_val = default_getter(web3, transaction)
  File ""C:\Users\Axceus\AppData\Local\Programs\Python\Python310\lib\site-packages\web3\_utils\transactions.py"", line 71, in <lambda>
    web3.eth.max_priority_fee + (2 * web3.eth.get_block('latest')['baseFeePerGas'])
  File ""C:\Users\Axceus\AppData\Local\Programs\Python\Python310\lib\site-packages\web3\eth.py"", line 549, in max_priority_fee
    return self._max_priority_fee()
  File ""C:\Users\Axceus\AppData\Local\Programs\Python\Python310\lib\site-packages\web3\module.py"", line 57, in caller
    result = w3.manager.request_blocking(method_str,
  File ""C:\Users\Axceus\AppData\Local\Programs\Python\Python310\lib\site-packages\web3\manager.py"", line 198, in request_blocking
    return self.formatted_response(response,
  File ""C:\Users\Axceus\AppData\Local\Programs\Python\Python310\lib\site-packages\web3\manager.py"", line 171, in formatted_response
    raise ValueError(response[""error""])
ValueError: {'message': 'Method eth_maxPriorityFeePerGas not supported.', 'code': -32000, 'data': {'stack': 'Error: Method eth_maxPriorityFeePerGas not supported.\n    at GethApiDouble.handleRequest (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\lib\\subproviders\\geth_api_double.js:70:16)\n    at next (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\node_modules\\web3-provider-engine\\index.js:136:18)\n    at GethDefaults.handleRequest (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\lib\\subproviders\\gethdefaults.js:15:12)\n    at next (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\node_modules\\web3-provider-engine\\index.js:136:18)\n    at SubscriptionSubprovider.FilterSubprovider.handleRequest (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\node_modules\\web3-provider-engine\\subproviders\\filters.js:89:7)\n    at SubscriptionSubprovider.handleRequest (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\node_modules\\web3-provider-engine\\subproviders\\subscriptions.js:137:49)\n    at next (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\node_modules\\web3-provider-engine\\index.js:136:18)\n    at DelayedBlockFilter.handleRequest (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\lib\\subproviders\\delayedblockfilter.js:31:3)\n    at next (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\node_modules\\web3-provider-engine\\index.js:136:18)\n    at RequestFunnel.handleRequest (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\lib\\subproviders\\requestfunnel.js:32:12)\n    at next (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\node_modules\\web3-provider-engine\\index.js:136:18)\n    at Web3ProviderEngine._handleAsync (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\node_modules\\web3-provider-engine\\index.js:123:3)\n    at Timeout._onTimeout (C:\\Program Files\\WindowsApps\\GanacheUI_2.5.4.0_x64__5dg5pnz03psnj\\app\\resources\\static\\node\\node_modules\\ganache-core\\node_modules\\web3-provider-engine\\index.js:107:12)\n    at listOnTimeout (internal/timers.js:531:17)\n    at processTimers (internal/timers.js:475:7)', 'name': 'Error'}}",
8,https://stackoverflow.com/questions/68289806/no-safetransferfrom-function-in-ethers-js-contract-instance,No safeTransferFrom function in ethers.js contract instance?,"
I created a contract instance in hardhat console like so:
const contract_fac = await ethers.getContractFactory(""ContractName"");
const contract = await contract_fac.attach(""CONTRACTADDR..."");
Contract object has all public/external functions except safeTransferFrom. Why?
When I call it with contract.safeTransferFrom(…) it throws JavaScript Error “safeTransferFrom is not a function”. Is this a bug or do I not understand something? safeTransferFrom function is listed in the ABI.
I use OpenZeppelin (v. 4.2) 721 token template without changes, Ethers.js (v. 5.4.1) and hardhat (v. 2.4.1).
Update: Problem solved. safeTransferFrom is a overloaded function. In ethers, the syntax to call an overloaded contract function is different from the non-overloaded function. Ethers.js doc
Wrong:
contract.safeTransferFrom(addr1, addr2, 1);
Correct:
contract[""safeTransferFrom(address,address,uint256)""](addr1, addr2, 1);",
9,https://stackoverflow.com/questions/67321111/file-import-callback-not-supported,File import callback not supported?,"
Tried to run:
1.) Dappuniversity project (dappuniversity/dbank) 2.) pet-shop-tutorial
Truffle v5.3.3 (core: 5.3.3) Node v14.15.5
How can ser compile code @ the 0.8.4 to import OpenZeppelin’s ERC20.sol template, when Truffle requires it’s compiler/solc to match 5.3.3?
// SPDX-License-Identifier: MIT

pragma solidity ^0.8.4;

import ""@openzeppelin/contracts/token/ERC20/ERC20.sol"";

contract Token is ERC20 {

  //add minter variable

  //add minter changed event

  constructor() public payable ERC20(""Name"", ""Symbol"") {

    //assign initial minter

  }

  //Add pass minter role function

  function mint(address account, uint256 amount) public {

    //check if msg.sender has a minter role

    _mint(account, amount);

  }

}
Source “@openzeppelin/contracts/token/ERC20/ERC20.sol” not found: File import callback not supported",
